// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.04
[Head]
SondeName=DEFI2-T
SondeNo=0AAF045
SensorType=T2B0
SensorType2=0301
SensorType3=60
Channel=2
Interval=1
SampleCnt=34265
StartTime=2024/08/09 09:30:00
EndTime=2024/08/09 19:01:04
StopTime=2024/08/09 19:01:04
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/09/05
Immersion_Effect=0
Ch1=-1.422639e+01,+1.566039e-03,-2.764373e-08,+6.512312e-13,-8.389325e-18,+5.553366e-23,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,Temp. [degC],Batt. [V],
2024/08/09 09:30:00,32.770,1.4,
2024/08/09 09:30:01,32.760,1.4,
2024/08/09 09:30:02,32.754,1.4,
2024/08/09 09:30:03,32.748,1.4,
2024/08/09 09:30:04,32.742,1.4,
2024/08/09 09:30:05,32.737,1.4,
2024/08/09 09:30:06,32.731,1.4,
2024/08/09 09:30:07,32.725,1.4,
2024/08/09 09:30:08,32.717,1.4,
2024/08/09 09:30:09,32.711,1.4,
2024/08/09 09:30:10,32.706,1.4,
2024/08/09 09:30:11,32.701,1.4,
2024/08/09 09:30:12,32.697,1.4,
2024/08/09 09:30:13,32.693,1.4,
2024/08/09 09:30:14,32.687,1.4,
2024/08/09 09:30:15,32.683,1.4,
2024/08/09 09:30:16,32.676,1.4,
2024/08/09 09:30:17,32.669,1.4,
2024/08/09 09:30:18,32.666,1.4,
2024/08/09 09:30:19,32.661,1.4,
2024/08/09 09:30:20,32.657,1.4,
2024/08/09 09:30:21,32.651,1.4,
2024/08/09 09:30:22,32.647,1.4,
2024/08/09 09:30:23,32.640,1.4,
2024/08/09 09:30:24,32.634,1.4,
2024/08/09 09:30:25,32.628,1.4,
2024/08/09 09:30:26,32.619,1.4,
2024/08/09 09:30:27,32.615,1.4,
2024/08/09 09:30:28,32.609,1.4,
2024/08/09 09:30:29,32.601,1.4,
2024/08/09 09:30:30,32.597,1.4,
2024/08/09 09:30:31,32.591,1.4,
2024/08/09 09:30:32,32.587,1.4,
2024/08/09 09:30:33,32.582,1.4,
2024/08/09 09:30:34,32.579,1.4,
2024/08/09 09:30:35,32.577,1.4,
2024/08/09 09:30:36,32.574,1.4,
2024/08/09 09:30:37,32.575,1.4,
