// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.04
[Head]
SondeName=DEFI2-T
SondeNo=0AAF045
SensorType=T2B0
SensorType2=0301
SensorType3=60
Channel=2
Interval=1
SampleCnt=39823
StartTime=2024/11/05 08:00:00
EndTime=2024/11/05 19:03:42
StopTime=2024/11/05 19:03:42
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/09/05
Immersion_Effect=0
Ch1=-1.422639e+01,+1.566039e-03,-2.764373e-08,+6.512312e-13,-8.389325e-18,+5.553366e-23,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,Temp. [degC],Batt. [V],
2024/11/05 08:00:00,24.267,1.4,
2024/11/05 08:00:01,24.267,1.4,
2024/11/05 08:00:02,24.267,1.4,
2024/11/05 08:00:03,24.268,1.4,
2024/11/05 08:00:04,24.268,1.4,
2024/11/05 08:00:05,24.270,1.4,
2024/11/05 08:00:06,24.271,1.4,
2024/11/05 08:00:07,24.273,1.4,
2024/11/05 08:00:08,24.275,1.4,
2024/11/05 08:00:09,24.275,1.4,
2024/11/05 08:00:10,24.275,1.4,
2024/11/05 08:00:11,24.276,1.4,
2024/11/05 08:00:12,24.278,1.4,
2024/11/05 08:00:13,24.280,1.4,
2024/11/05 08:00:14,24.281,1.4,
2024/11/05 08:00:15,24.281,1.4,
2024/11/05 08:00:16,24.281,1.4,
2024/11/05 08:00:17,24.277,1.4,
2024/11/05 08:00:18,24.274,1.4,
2024/11/05 08:00:19,24.271,1.4,
2024/11/05 08:00:20,24.268,1.4,
2024/11/05 08:00:21,24.267,1.4,
2024/11/05 08:00:22,24.268,1.4,
2024/11/05 08:00:23,24.273,1.4,
2024/11/05 08:00:24,24.290,1.4,
2024/11/05 08:00:25,24.310,1.4,
2024/11/05 08:00:26,24.326,1.4,
2024/11/05 08:00:27,24.345,1.4,
2024/11/05 08:00:28,24.362,1.4,
2024/11/05 08:00:29,24.379,1.4,
2024/11/05 08:00:30,24.395,1.4,
2024/11/05 08:00:31,24.410,1.4,
2024/11/05 08:00:32,24.425,1.4,
2024/11/05 08:00:33,24.438,1.4,
2024/11/05 08:00:34,24.451,1.4,
2024/11/05 08:00:35,24.464,1.4,
2024/11/05 08:00:36,24.475,1.4,
2024/11/05 08:00:37,24.487,1.4,
2024/11/05 08:00:38,24.499,1.4,
2024/11/05 08:00:39,24.510,1.4,
2024/11/05 08:00:40,24.521,1.4,
2024/11/05 08:00:41,24.532,1.4,
2024/11/05 08:00:42,24.543,1.4,
2024/11/05 08:00:43,24.553,1.4,
2024/11/05 08:00:44,24.565,1.4,
2024/11/05 08:00:45,24.575,1.4,
2024/11/05 08:00:46,24.586,1.4,
2024/11/05 08:00:47,24.596,1.4,
2024/11/05 08:00:48,24.605,1.4,
2024/11/05 08:00:49,24.616,1.4,
2024/11/05 08:00:50,24.628,1.4,
2024/11/05 08:00:51,24.638,1.4,
2024/11/05 08:00:52,24.648,1.4,
2024/11/05 08:00:53,24.659,1.4,
2024/11/05 08:00:54,24.667,1.4,
2024/11/05 08:00:55,24.677,1.4,
2024/11/05 08:00:56,24.686,1.4,
2024/11/05 08:00:57,24.696,1.4,
2024/11/05 08:00:58,24.705,1.4,
2024/11/05 08:00:59,24.714,1.4,
2024/11/05 08:01:00,24.724,1.4,
2024/11/05 08:01:01,24.730,1.4,
2024/11/05 08:01:02,24.739,1.4,
2024/11/05 08:01:03,24.746,1.4,
2024/11/05 08:01:04,24.755,1.4,
2024/11/05 08:01:05,24.762,1.4,
2024/11/05 08:01:06,24.772,1.4,
2024/11/05 08:01:07,24.779,1.4,
2024/11/05 08:01:08,24.787,1.4,
2024/11/05 08:01:09,24.795,1.4,
2024/11/05 08:01:10,24.805,1.4,
2024/11/05 08:01:11,24.813,1.4,
2024/11/05 08:01:12,24.821,1.4,
2024/11/05 08:01:13,24.831,1.4,
2024/11/05 08:01:14,24.840,1.4,
2024/11/05 08:01:15,24.850,1.4,
2024/11/05 08:01:16,24.857,1.4,
2024/11/05 08:01:17,24.865,1.4,
2024/11/05 08:01:18,24.872,1.4,
2024/11/05 08:01:19,24.872,1.4,
2024/11/05 08:01:20,24.867,1.4,
2024/11/05 08:01:21,24.858,1.4,
2024/11/05 08:01:22,24.852,1.4,
2024/11/05 08:01:23,24.845,1.4,
2024/11/05 08:01:24,24.841,1.4,
2024/11/05 08:01:25,24.837,1.4,
2024/11/05 08:01:26,24.834,1.4,
2024/11/05 08:01:27,24.832,1.4,
2024/11/05 08:01:28,24.836,1.4,
2024/11/05 08:01:29,24.843,1.4,
2024/11/05 08:01:30,24.853,1.4,
2024/11/05 08:01:31,24.862,1.4,
2024/11/05 08:01:32,24.880,1.4,
2024/11/05 08:01:33,24.892,1.4,
2024/11/05 08:01:34,24.901,1.4,
2024/11/05 08:01:35,24.907,1.4,
2024/11/05 08:01:36,24.913,1.4,
2024/11/05 08:01:37,24.915,1.4,
2024/11/05 08:01:38,24.919,1.4,
2024/11/05 08:01:39,24.925,1.4,
2024/11/05 08:01:40,24.933,1.4,
2024/11/05 08:01:41,24.939,1.4,
2024/11/05 08:01:42,24.948,1.4,
2024/11/05 08:01:43,24.953,1.4,
2024/11/05 08:01:44,24.958,1.4,
2024/11/05 08:01:45,24.963,1.4,
2024/11/05 08:01:46,24.964,1.4,
2024/11/05 08:01:47,24.964,1.4,
2024/11/05 08:01:48,24.961,1.4,
2024/11/05 08:01:49,24.956,1.4,
2024/11/05 08:01:50,24.957,1.4,
2024/11/05 08:01:51,24.958,1.4,
2024/11/05 08:01:52,24.959,1.4,
2024/11/05 08:01:53,24.960,1.4,
2024/11/05 08:01:54,24.961,1.4,
2024/11/05 08:01:55,24.961,1.4,
2024/11/05 08:01:56,24.960,1.4,
2024/11/05 08:01:57,24.959,1.4,
2024/11/05 08:01:58,24.958,1.4,
2024/11/05 08:01:59,24.957,1.4,
2024/11/05 08:02:00,24.955,1.4,
2024/11/05 08:02:01,24.954,1.4,
2024/11/05 08:02:02,24.954,1.4,
2024/11/05 08:02:03,24.953,1.4,
2024/11/05 08:02:04,24.952,1.4,
2024/11/05 08:02:05,24.949,1.4,
2024/11/05 08:02:06,24.947,1.4,
2024/11/05 08:02:07,24.942,1.4,
2024/11/05 08:02:08,24.940,1.4,
2024/11/05 08:02:09,24.939,1.4,
2024/11/05 08:02:10,24.938,1.4,
2024/11/05 08:02:11,24.936,1.4,
2024/11/05 08:02:12,24.935,1.4,
2024/11/05 08:02:13,24.934,1.4,
2024/11/05 08:02:14,24.933,1.4,
2024/11/05 08:02:15,24.932,1.4,
2024/11/05 08:02:16,24.931,1.4,
2024/11/05 08:02:17,24.930,1.4,
2024/11/05 08:02:18,24.928,1.4,
2024/11/05 08:02:19,24.927,1.4,
2024/11/05 08:02:20,24.926,1.4,
2024/11/05 08:02:21,24.924,1.4,
2024/11/05 08:02:22,24.923,1.4,
2024/11/05 08:02:23,24.922,1.4,
2024/11/05 08:02:24,24.921,1.4,
2024/11/05 08:02:25,24.920,1.4,
2024/11/05 08:02:26,24.918,1.4,
2024/11/05 08:02:27,24.917,1.4,
2024/11/05 08:02:28,24.915,1.4,
2024/11/05 08:02:29,24.915,1.4,
2024/11/05 08:02:30,24.913,1.4,
2024/11/05 08:02:31,24.912,1.4,
2024/11/05 08:02:32,24.911,1.4,
2024/11/05 08:02:33,24.908,1.4,
2024/11/05 08:02:34,24.907,1.4,
2024/11/05 08:02:35,24.905,1.4,
2024/11/05 08:02:36,24.904,1.4,
2024/11/05 08:02:37,24.903,1.4,
2024/11/05 08:02:38,24.902,1.4,
2024/11/05 08:02:39,24.900,1.4,
2024/11/05 08:02:40,24.899,1.4,
2024/11/05 08:02:41,24.897,1.4,
2024/11/05 08:02:42,24.895,1.4,
2024/11/05 08:02:43,24.894,1.4,
2024/11/05 08:02:44,24.892,1.4,
2024/11/05 08:02:45,24.891,1.4,
2024/11/05 08:02:46,24.889,1.4,
2024/11/05 08:02:47,24.888,1.4,
2024/11/05 08:02:48,24.886,1.4,
2024/11/05 08:02:49,24.885,1.4,
2024/11/05 08:02:50,24.884,1.4,
2024/11/05 08:02:51,24.884,1.4,
2024/11/05 08:02:52,24.883,1.4,
2024/11/05 08:02:53,24.881,1.4,
2024/11/05 08:02:54,24.880,1.4,
2024/11/05 08:02:55,24.878,1.4,
2024/11/05 08:02:56,24.877,1.4,
2024/11/05 08:02:57,24.876,1.4,
2024/11/05 08:02:58,24.875,1.4,
2024/11/05 08:02:59,24.874,1.4,
2024/11/05 08:03:00,24.873,1.4,
2024/11/05 08:03:01,24.872,1.4,
2024/11/05 08:03:02,24.871,1.4,
2024/11/05 08:03:03,24.870,1.4,
2024/11/05 08:03:04,24.869,1.4,
2024/11/05 08:03:05,24.868,1.4,
2024/11/05 08:03:06,24.867,1.4,
2024/11/05 08:03:07,24.866,1.4,
2024/11/05 08:03:08,24.865,1.4,
2024/11/05 08:03:09,24.863,1.4,
2024/11/05 08:03:10,24.860,1.4,
2024/11/05 08:03:11,24.858,1.4,
2024/11/05 08:03:12,24.857,1.4,
2024/11/05 08:03:13,24.856,1.4,
2024/11/05 08:03:14,24.855,1.4,
2024/11/05 08:03:15,24.854,1.4,
2024/11/05 08:03:16,24.853,1.4,
2024/11/05 08:03:17,24.852,1.4,
2024/11/05 08:03:18,24.851,1.4,
2024/11/05 08:03:19,24.851,1.4,
2024/11/05 08:03:20,24.849,1.4,
2024/11/05 08:03:21,24.847,1.4,
2024/11/05 08:03:22,24.844,1.4,
2024/11/05 08:03:23,24.843,1.4,
2024/11/05 08:03:24,24.841,1.4,
2024/11/05 08:03:25,24.841,1.4,
2024/11/05 08:03:26,24.839,1.4,
2024/11/05 08:03:27,24.838,1.4,
2024/11/05 08:03:28,24.838,1.4,
2024/11/05 08:03:29,24.836,1.4,
2024/11/05 08:03:30,24.835,1.4,
2024/11/05 08:03:31,24.833,1.4,
2024/11/05 08:03:32,24.832,1.4,
2024/11/05 08:03:33,24.831,1.4,
2024/11/05 08:03:34,24.829,1.4,
2024/11/05 08:03:35,24.827,1.4,
2024/11/05 08:03:36,24.826,1.4,
2024/11/05 08:03:37,24.825,1.4,
2024/11/05 08:03:38,24.824,1.4,
2024/11/05 08:03:39,24.822,1.4,
2024/11/05 08:03:40,24.821,1.4,
2024/11/05 08:03:41,24.819,1.4,
2024/11/05 08:03:42,24.816,1.4,
2024/11/05 08:03:43,24.814,1.4,
2024/11/05 08:03:44,24.812,1.4,
2024/11/05 08:03:45,24.811,1.4,
2024/11/05 08:03:46,24.809,1.4,
2024/11/05 08:03:47,24.808,1.4,
2024/11/05 08:03:48,24.806,1.4,
2024/11/05 08:03:49,24.805,1.4,
2024/11/05 08:03:50,24.803,1.4,
2024/11/05 08:03:51,24.803,1.4,
2024/11/05 08:03:52,24.802,1.4,
2024/11/05 08:03:53,24.800,1.4,
2024/11/05 08:03:54,24.800,1.4,
2024/11/05 08:03:55,24.797,1.4,
2024/11/05 08:03:56,24.796,1.4,
2024/11/05 08:03:57,24.795,1.4,
2024/11/05 08:03:58,24.795,1.4,
2024/11/05 08:03:59,24.794,1.4,
2024/11/05 08:04:00,24.793,1.4,
2024/11/05 08:04:01,24.792,1.4,
2024/11/05 08:04:02,24.792,1.4,
2024/11/05 08:04:03,24.790,1.4,
2024/11/05 08:04:04,24.790,1.4,
2024/11/05 08:04:05,24.789,1.4,
2024/11/05 08:04:06,24.787,1.4,
2024/11/05 08:04:07,24.785,1.4,
2024/11/05 08:04:08,24.784,1.4,
2024/11/05 08:04:09,24.783,1.4,
2024/11/05 08:04:10,24.782,1.4,
2024/11/05 08:04:11,24.780,1.4,
